Time_mesure RANDOM ROUND_ROBIN PRIORITY DIFFUSION
inactivity 848.1386119999804 580.2404769999931 684.9173399999838 566.9630542999948
lifecycle 849.5041039999813 581.3387989999927 686.2817449999844 568.056219899994
total 1365.4919999999527 1098.3219999999792 1364.4049999999559 1093.1655999999844
